NYSE American Stock Exchange,,,,,,,,,,,,,,
"Friday, May 18, 2018 5:32 PM",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Name,Symbol,Open,High,Low,Close,Net Chg,% Chg,Volume,52 Wk High,52 Wk Low,Div,Yield,P/E,YTD % Chg
22nd Century Group,XXII,2.2,2.22,2.08,2.1,-0.09,-4.11,"2,010,355",4.44,1.3,0,0,0,-25
Acme United,ACU,21.6,21.6,21.09,21.55,0.02,0.07,"3,273",29.4,19,0.44,2.04,19.77,-7.93
Actinium Pharmaceuticals,ATNM,0.38,0.39,0.37,0.39,0.01,3.39,"551,177",1.5,0.33,0,0,0,-41.23
Adams Resources&Energy,AE,47,47.99,46.58,47.99,0.97,2.06,"4,312",50.59,32.8,0.88,1.83,133.31,10.32
AeroCentury,ACY,15.75,15.75,15.75,15.75,-0.07,-0.47,"2,635",17.34,9.97,0,0,3.16,3.35
AgEagle Aerial Systems,UAVS,2.11,2.5,2.11,2.45,0.34,16.11,"1,037,448",21.25,1.61,0,0,0,-55.45
Air Industries Group,AIRI,1.69,1.7,1.61,1.68,0.07,4.35,"85,715",2.83,1.15,0.6,35.71,0,-0.59
Alexco Resource,AXU,1.36,1.41,1.36,1.41,0.04,2.92,"120,478",1.85,1.1,0,0,0,-11.32
Alio Gold,ALO,1.79,1.82,1.79,1.81,0.01,0.56,"48,109",6.06,1.7,0,0,7.87,-50.68
Alpha Pro Tech,APT,3.7,3.8,3.6,3.65,0.05,1.39,"224,787",4.25,2.7,0,0,21.47,-8.75
Altisource Asset Management,AAMC,63.53,65.05,63.53,65.05,1.95,3.09,822,116,55,0,0,0,-20.28
AMCON Distributing,DIT,97,98.66,97,98.35,2.6,2.72,463,113.6,80.95,0.72,0.73,21.11,0.51
American Shared Hospital Services,AMS,2.75,2.75,2.75,2.75,0,0.07,"1,617",4.25,2.25,0,0,7.86,5.95
Americas Silver,USAS,3.5,3.65,3.5,3.65,0.16,4.58,"26,715",5.04,2.5,0,0,0,0.83
Ampio Pharmaceuticals,AMPE,2.5,2.56,2.46,2.51,0.04,1.62,"356,886",4.95,0.38,0,0,0,-38.33
Ampliphi Biosciences,APHB,1.14,1.22,1.13,1.17,0.03,2.63,"378,831",2.05,0.67,0,0,0,15.84
Asanko Gold,AKG,1.21,1.31,1.21,1.27,0.04,3.25,"523,444",2.24,0.43,0,0,384.85,29.86
Ashford,AINC,82.95,83,80.34,80.37,-2.13,-2.58,"10,923",111,47.03,0,0,0,-13.58
